track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
63qA4ydokzNOFpsaNlsYsC,Higa,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,245760,2019-10-25,8,0.657,0.337,9.0,-10.546,1.0,0.0433,0.45,0.0,0.106,0.183,125.057
0sNZsYY8LSCCM4tC2y0zR1,Binhi,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,216774,2019-10-25,6,0.545,0.309,5.0,-10.235,1.0,0.0313,0.961,0.000733,0.189,0.232,123.767
1n94XVEMS40MCW52AyLGDs,Happy w u (feat. Jason Dhakal),7uDdl5V5AETSFY7K3muu22,Arthur Nery,6tNvMkhgMHVnKMgk5FdCvU,280714,2020-12-22,8,0.596,0.182,6.0,-16.004,1.0,0.0378,0.903,0.0,0.0909,0.268,111.734
0fzqQpW4G1vxIC1MTlzeY0,Life Puzzle,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,261500,2019-10-25,2,0.719,0.233,4.0,-13.983,1.0,0.0884,0.586,0.0,0.0785,0.361,93.924
4feJnuMO1hnNLEWiKYDxOl,TAKE ALL THE LOVE,7uDdl5V5AETSFY7K3muu22,Arthur Nery,7w2WseM2SppYIXbS9jQ8QO,206181,2021-04-23,3,0.491,0.486,5.0,-6.588,1.0,0.0347,0.285,0.0,0.0976,0.262,82.411
34YfLWuoxLEcvJQNxdI9P2,Pagsamo,7uDdl5V5AETSFY7K3muu22,Arthur Nery,2a4tsCtI450vuuBKJ3nSP2,297001,2021-10-01,14,0.644,0.315,6.0,-9.382,1.0,0.0339,0.706,0.00162,0.0962,0.356,60.001
5eyQmt4Ba7ZzudMIqA6yKo,Cotton Candy,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,278666,2019-10-25,2,0.471,0.371,1.0,-10.269,0.0,0.127,0.691,0.0,0.103,0.293,179.986
4R7Wwquqb9c5Nzco5Gy1Uo,Hung Up,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,196923,2019-10-25,1,0.548,0.36,11.0,-10.241,1.0,0.0561,0.771,0.00011,0.691,0.256,116.67
4aEX8nrDpOxHve37fo8myJ,I'd Still Kiss You,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,236992,2019-10-25,1,0.456,0.312,8.0,-9.838,0.0,0.041,0.929,5.66e-06,0.107,0.0493,132.207
72i1Mv68WTNNRYjEbJOkxC,Favorite Vice,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,288791,2019-10-25,1,0.672,0.316,8.0,-10.309,1.0,0.0792,0.713,1.95e-05,0.12,0.33,90.959
1MlQobUd4mVrouZ57qXQ9t,Isa lang,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3UfTpuminIQO0oDidXgx9T,269256,2021-12-17,15,0.338,0.465,6.0,-8.445,0.0,0.101,0.781,0.0,0.0798,0.372,82.477
0WZqHCoOBXqgCCIsUZLC2a,Pagsamo,7uDdl5V5AETSFY7K3muu22,Arthur Nery,668hRB0T4LU6a7HVspAMKy,297001,2021-10-01,76,0.644,0.315,6.0,-9.382,1.0,0.0339,0.706,0.00162,0.0962,0.356,60.001
0EA8jl8Wje9ALRKC8Qlzyt,Happy w u,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3wGtsGy8caFXddQMJau2kb,280714,2020-12-22,70,0.596,0.182,6.0,-16.004,1.0,0.0378,0.903,0.0,0.0909,0.268,111.734
7gfrASeOt73YWvpIv1fU8E,Higa,7uDdl5V5AETSFY7K3muu22,Arthur Nery,6oZQZu4rTUF0A8PtpZeLFF,245760,2019-10-25,72,0.656,0.336,9.0,-10.538,1.0,0.0434,0.453,0.0,0.106,0.182,125.058
092cPwFlwBXdB3QF3X469W,Binhi,7uDdl5V5AETSFY7K3muu22,Arthur Nery,6oZQZu4rTUF0A8PtpZeLFF,216774,2019-10-25,68,0.46,0.311,5.0,-10.235,1.0,0.0319,0.961,0.000819,0.189,0.22,124.193
2v6jmF6VQWS96x6tSg05IC,TAKE ALL THE LOVE,7uDdl5V5AETSFY7K3muu22,Arthur Nery,4EJLfrjbTDyhhMU1AcYDPb,206181,2021-04-23,64,0.491,0.486,5.0,-6.588,1.0,0.0347,0.285,0.0,0.0976,0.262,82.411
0HAG6nIiEKd75yGpovuSJQ,Isa lang,7uDdl5V5AETSFY7K3muu22,Arthur Nery,09S77IK5S0vxVF0DfwSohF,269256,2021-12-17,77,0.429,0.464,6.0,-8.445,0.0,0.0719,0.783,0.0,0.0846,0.375,121.17
