Title,Year,Peak chart position,Album
Title,Year,"PHL
Songs",Album
"""Stay Here""",2018,—,Non-album singles
"""Sa'yo""",2018,—,Non-album singles
"""The Way You Wanted""",2018,—,Non-album singles
"""You Won't See Me Crying""
(featuring ABY)",2019,—,Non-album singles
"""Mahal o Biro""",2019,—,Non-album singles
"""Umaasa""",2019,—,Non-album singles
"""This Is Love""",2020,—,Non-album singles
"""Nangangamba""",2020,16,Non-album singles
"""Cruel""",2020,—,Non-album singles
"""Sigurado""",2020,—,Non-album singles
"""Iyong Iyo""",2021,—,Non-album singles
"""Elizabeth""",2021,—,Episode
"""Binibini""",2021,9,Episode
"""Hindi Ko Kaya""",2021,—,Episode
"""Binibini (Last Day on Earth)""
(featuring James TW)",2021,—,Non-album single
"""Habang Buhay""",2021,2,Episode
"""Ba't Ganito ang Pag-ibig""",2021,—,Episode
"""Pano""",2021,1,Non-album singles
"""Hatdog""
(featuring James Reid)",2022,—,Non-album singles
"""Iba""
(featuring Moira Dela Torre)",2022,—,Non-album singles
"""Asan Ka Na Ba""",2022,3,Non-album singles
"""As You Are""",2022,—,Non-album singles
"""Anghel""",2022,—,Non-album singles
"""Yakap""",2022,TBA,Non-album singles
