playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
3VXReCeetN58c1clj9u8ZK,Tomorrowland 2022 Playlist 💙 EDM HITS,110,21uvjs6vsljej5dzs5ksdwprq,The Book of Wisdom,496326
3Di88mvYplBtkDBIzGLiiM,EDM Hits 2022,119,fineshark,Christoffer Brants,361762
37i9dQZF1DXafD1g5rer7q,EDM Samplings,50,spotify,Spotify,307490
6g40a9GjWBkX8ewR0vF9C2,DANCE MUSIC 2022  🙌 'Best Dance 2022 & EDM Hits 2022' ,241,mejoresplaylistsspotify,Filtr Éxitos,288570
37i9dQZF1DXdVmhVVRZJ3I,Suor EDM,50,spotify,Spotify,259165
2kInpNnxZcN4e0IrGGlEbK,EDM Workout Bangers 🏃 Gym/Training Motivation,100,kfvshl89wr6t8eevqv4t2igdq,BLNDR,232768
3F2o7xeKflJbdWKA2aDsFa,electronic/edm,80,31y63zpqze7iuoaooob5dk3kfeay,ProEDM,156964
37i9dQZF1DX3Kdv0IChEm9,EDM Hits,60,spotify,Spotify,143869
7JdjKf594hrtR779LuJQbA,EDM Workout Pump-Up,302,jerryjchen,htownlu8907,137701
37i9dQZF1DX1kCIzMYtzum,EDM,50,spotify,Spotify,110116
6PrUPPajcmqjmU9AXOsua8,Club Beats 2022 🔥 EDM Dance & Bass - The best Club Mix and Club Music,216,uuo0uc1mv6nr0fuuyfnf82iy4,AESTHETE,108898
0TsHgCCpifeNJg3d8z3Nfv,EDM Workout 2022 | Training Hits,133,11124443444,Naeleck,89958
7m1C1eHUC2kJQL69dGMjaz,Top EDM Hits of All Time,1629,22z7gq2sv2eblgvg6znceoj7q,Luke Gullickson,73117
6FjUyONoZCmdvKPfeWEohP,"EDM PARTY 2022 🎉 EDM Dance Party Hits, Slap House, Electronic Dance Charts, Main Stage, EDM Remix",130,jannisrunge,Juicy Fresh Music,72683
4s7XRQNjPCQY3lovbbgZZ0,ELETRONICAS 2022 ⚡ MELHORES ELETRO BRASIL EDM BR,81,xqco6flqszzcxginaij5u9k86,HOPE 95,70169
