playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온),50,spotify,Spotify,4289304
37i9dQZF1DX6Cy4Vr7Hu2y,EQUAL K-Pop,64,spotify,Spotify,804597
37i9dQZF1DX4FcAKI5Nhzq,K-Pop Rising,53,spotify,Spotify,710013
37i9dQZF1DX4IDaXtVjL83,K-Pop X-Overs,50,spotify,Spotify,461986
37i9dQZF1DX14fiWYoe7Oh,K-Pop Generations,105,spotify,Spotify,375398
37i9dQZF1DWSnRSDTCsoPk,Energy Booster: K-Pop,100,spotify,Spotify,374404
37i9dQZF1DWZYjbSZYSpu6,K-Pop Duets (러블리 듀엣),50,spotify,Spotify,364804
7JXJKP3xMvIMbEBBGApTPQ,K-Pop Hits 2022,57,digster.fm,Digster,355803
37i9dQZF1DX5LEXW9eXA0n,"발라드, 려요 (K-Pop Ballad Hits)",109,spotify,Spotify,336861
37i9dQZF1DX1LU4UHKqdtg,K-Pop Fresh,50,spotify,Spotify,243136
37i9dQZF1DWXaehqeJpkro,Sing Along K-Pop (노래방 인기가요),150,spotify,Spotify,228820
37i9dQZF1DX1wdZM1FEz79,K-Pop Acoustic,52,spotify,Spotify,224555
37i9dQZF1DX1uG5byNIgDA,Morning K-Pop!,50,spotify,Spotify,216966
37i9dQZF1DWUoY6Ih7vsxr,Millennium K-Pop,100,spotify,Spotify,160145
37i9dQZF1DXe5W6diBL5N4,New Music K-Pop,100,spotify,Spotify,129652
37i9dQZF1DX1lU51fgoMhF,Summer K-Pop Hits (썸머 히트),100,spotify,Spotify,106836
37i9dQZF1DX5eq3AONkaho,Workday K-Pop,200,spotify,Spotify,103116
37i9dQZF1DX3sCx6B9EAOr,드라이빙 댄스+ (K-Pop Driving),150,spotify,Spotify,100632
37i9dQZF1DWVbb8LK4P3Mg,Christmas K-Pop,100,spotify,Spotify,44258
2a4L6JcG8gJoGO2mMhoC71,RANDOM DANCE K-POP,304,31m5lpzqtisaat5douuk3a6zsx4y,Ɱɑɾíօղ,36830
3ZdSe8w9NiQD7HEfopLm6s,K-Pop Playlist,442,otiqv8c756fq66r6n9uz4uncb,Jewels,14309
4G51tvKZeNePpd9UWcuMmn,K-Pop Workout,169,nalbon,Niki Jack,12424
37i9dQZF1DXbdOzWHrOJTl,K-Pop On Replay,50,spotify,Spotify,10503
597LRIZRwEuDeLXpswX62s,K-Pop and Play,60,playstationtmmusicasia,PlayStation® Asia,8103
0IQamUhlzsoM8Vkpvs5QaT,K-POP PARTY,133,11x8i3535ucboe7uz6ttlti34,Iván,7240
3IvjoydUuS4RKwm53qTwko,K-POP ALL KILL - Dead by Daylight ,64,a50oxe3ri3djodxmu8cu98rnt,Dead by Daylight,6228
3SppVKB3kfT6rbElEi9Lsy,Girls K-Pop ,212,2272k4huv7v634jtz7i2tsjcy,Ethan,5998
6fGZrP5lKtTEGNaQGPjn5L,K-POP,318,12150809594,Digster Music,5597
7zx6cOoUpkY9rAHOkD5Tab,K-Pop 2015-2022,253,31kvy5aytx4cqfx2fzm7cpmwzy6q,Puspita,4830
37i9dQZF1DWYlzvIAycznp,K-Pop Daebak Presents... Best K-Pop Songs of 2021,50,spotify,Spotify,4689
1vBEjLF8pRTJTVjvAMjjBI,K-Pop!,100,nowthatsmusicus,NOW That's What I Call Music! US,4164
3oguxegkF85LzlMPm7KmAM,English K-pop Songs,171,m3lfhag266bf5tc4e6ty4e6fh,sannidhi,3023
17zE7uFrbHy7WbwuPhkDjm,K-Pop Girl Groups <3,227,najahanhar,umaru ♪♩♬,3002
1bNuDsel3P60p11Z7vfHMR,K-Pop Daebak,30,powie17,Jerome,2983
7HNd1dA2R2a6UOhAntUtkd,K-Pop 2000-2015,433,ruthstephanys,Ruth Stephany S,2627
67A3Nu1lU3gqwq7l7G8auH,K-POP 🇰🇷,67,12142184877,Lucas Livvie,2527
4JcbaaznRdlWyzkXrDC7C6,Kpop Hits 💜 Popular K-Pop Hits,113,18xlfdxs3niwir1kh97eyqwa8,Music Styles,1706
5Xkyd2CJAZmCaCM8ei8vOE,k-pop para bailar en lugar de hacer tarea,69,31arw6re5ofaqscbkptzw2c2mflm,Sinaí,1152
1YlMgtFD2VZfDOk8GTZvW8,K-Pop Hits 2009-2022,750,rachelle.dulos,rachelle.dulos,921
2TUUjVYN24BeXKTymEx4EI,K-POP 2010's,355,1132757965,Frida Kennedy,739
7KjWod9fDe5lljdpL9Kn7y,K-pop,384,22ozgf55b62obosyfl6icq3ha,Alyssa Wagoner,483
5i1AnqfuuqAohSXuD7Na3h,K-pop ダンス,48,kcq25f4s3ypyy8euf5ox6qt2g,kcq25f4s3ypyy8euf5ox6qt2g,460
37i9dQZF1DWVHNixKGCLqw,K-Pop Daebak Presents: Best K-Pop Songs of 2O2O,50,spotify,Spotify,433
2LB2kZxM18Upb4hAeMzQTG,K-Pop,56,314vfy4qcrdj7yen7au7s3bx52gq,King Casper,396
7G8xxWRu0GZdRLv2DKdKND,K-POP 2022 Comebacks and Releases ,360,katja.luther,Starxy101,258
6Ce9alL5a9s2nyUtUFjvxi,k-pop ガールズグループ,77,31fqoonzpre3dwx6ge3aovwo6ymy,muta,220
5OcsSEHnPknlMdMaIVJlMv,K-Pop Songs  ,151,31syu6fnxg2o77pxqyw5g35hx65m,Jime Ruiz,156
3ELGkiUkEzBmqGoSWfY8NC,♡ k-pop ♡,372,12101324261,doxophobia,105
7hwYrPd9Qw8sxaFOd8vZyf,K-Pop 🔥 2017-2018,101,jaylapalmer,jaylapalmer,101
41kWu25a4rXHUJ9J3qlfgC,🖤✨K-pop✨🖤,522,pitosia,Pitosia,88
1MD0rWduJp3opM2wScT0BY,🇰🇷K-POP,35,314yw6cjji63rxaf54gp56pruttm,にこっぴうぃんく,29
5fkGsCFjZrthtQ3NMoTbhZ,K-POP🕺🏻✨,476,mykailarose,mykailarose,15
7tFMtqyVMPd6Z14BQrcex6,K-pop🤨📸,116,pwt7j2pkhjrww34dsvz2ge0wb,Werra XD,13
0lmSadSakEPG2uIeHjR3me,K-pop 🎵🎶,140,lizziecastro15,Rose💜🌹,6
37i9dQZF1EIeFApGFIjarR,K-Pop Girl Group Mix,50,spotify,Spotify,0
37i9dQZF1EQpesGsmIyqcW,K-Pop Mix,50,spotify,Spotify,0
