track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7IkuRNVAjwXpZ2DheQHL4L,FIRE,1xs6WFotNQSXweo0GXrS0O,EXID,5DbZBWJtKZnwCKDkMvC45q,207013,2022-09-29,66,0.75,0.941,8,-1.759,1,0.0609,0.0111,2.11e-06,0.228,0.867,129.978,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
1lUNlmwyhsJy6kXmmrO11t,As It Was - Spotify Singles,0Vb2DjojEYsasFpc3aTZb6,SEUNGKWAN,53TYhJdqLF6eU5GbYZezTB,159640,2022-09-30,65,0.509,0.83,9,-4.446,1,0.0742,0.0138,0.00263,0.208,0.83,174.009,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
1QpwvWMQGdOgA8MXXfgs4H,DICE,28ot3wh4oNmoFOdVajibBl,NMIXX,2WraNaeFiJAOFEozKoAtC6,165746,2022-09-19,80,0.556,0.798,7,-3.331,1,0.254,0.0848,0.0,0.33,0.628,131.096,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
2gYj9lubBorOPIVWsTXugG,After LIKE,6RHTUrRF63xao58xh9FXYJ,IVE,0nzRF7khA2UDSZa9T0B6Da,176973,2022-08-22,89,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
5mdWIwsJAzR97ShGkt8gcR,New thing (Prod. ZICO) (Feat. Homies),4XpUIb8uuNlIWVKmgKZXC0,ZICO,54UUQN3j32n8TA2OJxTcHP,147426,2022-09-06,77,0.775,0.865,1,-2.015,1,0.307,0.0453,0.0,0.261,0.663,175.12,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
5aucVLKiumD89mxVCB4zvS,Rush Hour (Feat. j-hope of BTS),6aLdhHUqgdKE86xbtNmY8g,Crush,7egcy2gtlyoUUl1OlQrY3R,177302,2022-09-22,84,0.738,0.714,0,-5.235,1,0.249,0.157,0.0,0.31,0.74,95.035,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
0ARKW62l9uWIDYMZTUmJHF,Shut Down,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,7jaSNQUBJbvfbZHLNFrV7P,175889,2022-09-16,89,0.82,0.686,0,-5.102,1,0.038,0.00412,0.0,0.184,0.668,110.058,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
0a4MMyCrzT0En247IhqZbD,Hype Boy,6HvZYsbFfjnjFrWF950C9d,NewJeans,1HMLpmZAnNyl9pxvOnTovV,179026,2022-08-01,88,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
3lLCAFzZqA7B3OQl6yfYCM,Sunflower (P.E.L),1ygbGmBWGTX0llbLrD9648,CHOI YOOJUNG,08tTGoLXNw5OaEUOJFIBe6,181986,2022-09-14,66,0.767,0.9,0,-2.659,1,0.276,0.0638,0.0,0.109,0.639,93.954,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
3MU7mQWCeNx7m75r1107Ds,Test Me,1khChLj7REGqjM043PlYyn,Xdinary Heroes,0Z5qdttvpyXKKNLdqeEs27,199160,2022-07-20,68,0.515,0.938,2,-2.7,1,0.26,0.0208,0.0,0.114,0.654,166.026,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
35sE2Ehvd1GzBzAIC0zFIu,HEYDAY (Prod. Czaer),2dIgFjalVxs4ThymZ67YCE,Stray Kids,7dwRGP1A80POqE3O9At5Vw,144773,2022-09-20,72,0.892,0.808,2,-3.343,1,0.156,0.0335,0.0,0.0363,0.701,137.97,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
0RDqNCRBGrSegk16Avfzuq,Talk that Talk,7n2Ycct7Beij7Dj7meI4X0,TWICE,3NZ94nQbqimcu2i71qhc4f,177466,2022-08-26,87,0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
0eG3b2T3SXtPAhD9LLm8xA,Same Scent,3CVYSpM7nfHFG5qCTW7Ht9,ONEUS,5VlLXq5wH22O8D5hBYWqAp,192786,2022-09-05,69,0.65,0.914,0,-3.106,0,0.0485,0.112,0.0,0.0731,0.725,98.984,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
0VES0jpNQEdRpD31gYDIMe,LAW (Prod. Czaer),1Do4bSzfUl0KWL9r1fITu0,Yoon Mirae,54UUQN3j32n8TA2OJxTcHP,189373,2022-09-06,72,0.756,0.9,2,-4.428,1,0.0843,0.00857,0.000111,0.237,0.55,128.054,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
5zwwW9Oq7ubSxoCGyW1nbY,Pink Venom,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,0kbZ4ZNRs76sSFeGUEErFM,186964,2022-09-15,77,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
2pIUpMhHL6L9Z5lnKxJJr9,Attention,6HvZYsbFfjnjFrWF950C9d,NewJeans,1HMLpmZAnNyl9pxvOnTovV,180066,2022-08-01,88,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
1oen3GpTcA486fTHaT7neg,FOREVER 1,0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation,3CcgnUkTrUaPTt4Ms1MkoP,202533,2022-08-05,81,0.615,0.871,9,-1.248,1,0.0516,0.0427,0.0,0.254,0.297,123.915,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
2WoluqyWzsgRmFCeHeGlnm,SNEAKERS,2KC9Qb60EaY0kW4eH68vr3,ITZY,64EGnoCD5NuC41OqQ3E7UK,179453,2022-07-15,79,0.935,0.849,7,-3.047,1,0.0779,0.0192,0.0,0.0223,0.551,119.986,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
