playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX10zKzsJ2jva,Viva Latino,50,spotify,Spotify,12602096
37i9dQZF1DWVcbzTgVpNRm,Latin Party Anthems,125,spotify,Spotify,2014553
37i9dQZF1DX07RJCJCOYpi,mint Latin,56,spotify,Spotify,1739234
37i9dQZF1DWXmQEAjlxGhi,Latin Cardio,100,spotify,Spotify,1291969
37i9dQZF1DWZJIhAWlsiOv,50 Latin Classics,50,spotify,Spotify,871856
37i9dQZF1DWYzTSrc7SiSZ,Chill Latino,150,spotify,Spotify,635077
37i9dQZF1DXbLMw3ry7d7k,Latin Hit Mix,100,spotify,Spotify,489587
37i9dQZF1DX661EjJOj3Tu,Latin Jazz,100,spotify,Spotify,478352
37i9dQZF1DX2u4EHuQcBWu,Himnos de Resistencia Latinoamericana,100,spotify,Spotify,157747
6iP66p2aJ7DmWcma2OnRCT,Latinos De Fiesta 🔥🔥 HITS LATINOS 2022,72,sonymusicargentina,Filtr SUR,130633
6R2N9jmZsAaiS54DufhFby,"Latino Hits 2022 | Top Latino (J.Balvin, Daddy Yankee, Bad Bunny, Luis Fonsi, Karol G...)",215,digster.fr,Digster France,129937
3cmB6GY8ojluJiJqV8Ci9k,Rock Latino 80-90 Lo Mejor,168,12141197129,M-Cortez Cervantes,129521
37i9dQZF1DX8RvHJklfhit,Latin Indie Classics,100,spotify,Spotify,129190
37i9dQZF1DX8RvHJklfhit,Latin Indie Classics,100,spotify,Spotify,129190
37i9dQZF1DWYK2yx0OW9Kj,Workout Latino,75,spotify,Spotify,99281
37i9dQZF1DX8kJmrTVx1yE,Enganchados: Latinos,80,spotify,Spotify,97423
37i9dQZF1DWVWEJ7IcHiFv,80s Latino,50,spotify,Spotify,91038
64FVolX9ACNZSJiOHBrHSz,Clásicos de Disney Latino,115,aleth.santse,Alethia,90296
0q1di38xTtJS21GjOtaeNb,Latin Party 2022 🌴 ,16,12142273751,Wall Music,76607
7kYkvoGe27UsYN8DKSxFUi,LATINA,56,warnermusicitaly,Topsify Italia,65442
37i9dQZF1DX3iDTU5OeufK,Pride Latino,90,spotify,Spotify,57674
79oA8X4BA0aqoLOdjqBae2,Latin Party 2022 🌴 Fiesta!,120,21ifzjxggdajdpc4w6iqxslkq,Soave,52912
37i9dQZF1DX1X5WuBxE8Iy,Disney Princesa Latino,49,spotify,Spotify,42976
2vLdbee6VEsemH18ajqZNI,TOP 50 LATINO,50,31oes3dk54y7nfwoyxtxrn65ahjy,Outlet Media,42156
5JMihbVmqBAsdfvkVYX9Fv,Latin Dance Music,187,ctacm,ctacm,33161
37i9dQZF1DWZufbpO1g3tw,Brunch Latino,50,spotify,Spotify,30822
3K69ePExjyKCbKQN6F8Gf8,2000s Latino Hits,158,u2dd8711jbf01rurb54722oto,Chuy-Jp,22360
