track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",100,198937,"['716NhGYqD1jl2wI1Qkgq36', '52iwsT98xCoGgiGntTiR7K']","['Bizarrap', 'Quevedo']",2,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5ww2BF9slyYgNOk37BlC4u,La Bachata,98,162637,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,1,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3PpWCS95gDUDRPko3u1MZ9,Prohibidox,85,166253,2LRoIwlKmHjgvigdNGBHNo,Feid,1,37i9dQZF1DX10zKzsJ2jva,Viva Latino
4XqXNU8MwPHwbgZmNXmAdc,Junio,74,168601,1r4hJ1h58CWwUQe3MxPuau,Maluma,1,37i9dQZF1DX10zKzsJ2jva,Viva Latino
31i56LZnwE6uSu3exoHjtB,Neverita,93,173119,4q3ewBCX7sLwd24euuV69X,Bad Bunny,1,37i9dQZF1DX10zKzsJ2jva,Viva Latino
1ga4PztXOIw1yBbdUt2X8v,GATÚBELA,90,209160,"['790FomKkXshlbRYZFtlgla', '4IndUOBCZYZg61557iq2A9']","['KAROL G', 'Maldy']",2,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,95,157017,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,1,37i9dQZF1DX10zKzsJ2jva,Viva Latino
6i1g5ZRmJZAkDwBaUZ3f2i,Caile,91,141340,4axKuDPr6WKcDCyh8vueTY,Luar La L,1,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5fhcuVxuBWfgNXGuyAtLmr,Los Cachos,85,212304,"['4bw2Am3p9ji3mYsXNXtQcd', '0tmwSHipWxN12fsoLcFU3B']","['Piso 21', 'Manuel Turizo']",2,37i9dQZF1DX10zKzsJ2jva,Viva Latino
4yXBfJAPsDZjpjMEp9NyjT,Vapor,67,208894,"['1wZtkThiXbVNtj6hee6dz9', '1mcTU81TzQhprhouKaTkpq']","['Wisin & Yandel', 'Rauw Alejandro']",2,37i9dQZF1DX10zKzsJ2jva,Viva Latino
