track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",716NhGYqD1jl2wI1Qkgq36,Bizarrap,4PNqWiJAfjj32hVvlchV5u,198937,2022-07-06,100,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5ww2BF9slyYgNOk37BlC4u,La Bachata,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,1TpGeAzOJgAGdPkcWl95r2,162637,2022-05-26,98,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3PpWCS95gDUDRPko3u1MZ9,Prohibidox,2LRoIwlKmHjgvigdNGBHNo,Feid,7pijRxgRaBirPz6wDaJIp9,166253,2022-09-14,85,0.647,0.801,1,-2.946,0,0.249,0.0451,0.0,0.0628,0.517,180.108,37i9dQZF1DX10zKzsJ2jva,Viva Latino
4XqXNU8MwPHwbgZmNXmAdc,Junio,1r4hJ1h58CWwUQe3MxPuau,Maluma,5Gabq4Ub8V9izQ0WNGToqB,168601,2022-09-29,74,0.85,0.756,11,-3.439,0,0.0407,0.0999,0.0,0.0873,0.896,120.024,37i9dQZF1DX10zKzsJ2jva,Viva Latino
31i56LZnwE6uSu3exoHjtB,Neverita,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,173119,2022-05-06,93,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,37i9dQZF1DX10zKzsJ2jva,Viva Latino
1ga4PztXOIw1yBbdUt2X8v,GATÚBELA,790FomKkXshlbRYZFtlgla,KAROL G,5FdSjtKiymlHrdbXDyXcxA,209160,2022-08-26,90,0.627,0.858,11,-2.824,0,0.386,0.263,0.0,0.21,0.342,92.523,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,5omNd3Mkij9C3ZeW19rRmv,157017,2022-07-28,95,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,37i9dQZF1DX10zKzsJ2jva,Viva Latino
6i1g5ZRmJZAkDwBaUZ3f2i,Caile,4axKuDPr6WKcDCyh8vueTY,Luar La L,70ubyVo5JwY94DLaZBkIBI,141340,2020-12-18,91,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5fhcuVxuBWfgNXGuyAtLmr,Los Cachos,4bw2Am3p9ji3mYsXNXtQcd,Piso 21,0SXW8l00nztnoYkGT7BjJh,212304,2022-07-08,85,0.774,0.73,0,-3.865,1,0.134,0.108,0.0,0.194,0.421,91.966,37i9dQZF1DX10zKzsJ2jva,Viva Latino
4yXBfJAPsDZjpjMEp9NyjT,Vapor,1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,5YLmrfqNRJK66Gl4QVLwHW,208894,2022-09-30,67,0.803,0.779,11,-4.449,0,0.0694,0.066,2.23e-05,0.111,0.317,94.009,37i9dQZF1DX10zKzsJ2jva,Viva Latino
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,243716,2022-05-06,98,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3c7H5RL3H6jFgDTbMxGBe9,El Pañuelo,5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,6UHVdZCYgXo8xeSCw4RXp5,234706,2022-08-30,81,0.839,0.71,8,-3.823,1,0.0409,0.0534,0.0,0.283,0.661,129.998,37i9dQZF1DX10zKzsJ2jva,Viva Latino
79HZAZNnOE97rb2hnI0XQr,LOKERA,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,4vJcqwIGUuk5TeP29OPovU,195294,2022-07-25,91,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,37i9dQZF1DX10zKzsJ2jva,Viva Latino
4v7riPZWyAclrOfUSwD0zp,Aeropuerto,28gNT5KBp7IjEOQoevXf9N,Camilo,1UTDgnpHmthIsdzSxbhpV2,177626,2022-09-06,77,0.69,0.58,0,-4.395,1,0.199,0.0328,0.0,0.328,0.708,197.635,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3fjN3y5x4hN53rykAN2LHQ,cómo dormiste?,2IMZYfNi21MGqxopj9fWx8,Rels B,2jt6z03JV7Ax8ZdlOrs9BK,112572,2022-08-04,90,0.627,0.429,1,-8.255,1,0.234,0.238,0.0,0.122,0.565,126.426,37i9dQZF1DX10zKzsJ2jva,Viva Latino
7dSZ6zGTQx66c2GF91xCrb,PROVENZA,790FomKkXshlbRYZFtlgla,KAROL G,1wLB2bnCl2m5m9M9g8r93Y,210200,2022-04-22,94,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,37i9dQZF1DX10zKzsJ2jva,Viva Latino
0kTMK4gNFfLXaTb62w1UaJ,BABY OTAKU,41vcoPejPG3vv8emJ2R5Ox,Pablo Pesadilla,7HUH0lFoay2KzGEZqGp55G,176470,2022-08-18,85,0.835,0.747,9,-4.65,1,0.083,0.0492,0.0,0.055,0.432,102.003,37i9dQZF1DX10zKzsJ2jva,Viva Latino
7iwJOi3hlMqZt6pj1sQOBj,Vista Al Mar,52iwsT98xCoGgiGntTiR7K,Quevedo,5ihYKNgcOMifCJmcGp7CkW,180672,2022-09-09,88,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3M23T72K5eqHI2GzdFMMHE,Brother,2R21vXR83lH98kGeO99Y66,Anuel AA,5aw4wm2nZtKrilz0CcTeD8,209578,2022-09-14,77,0.592,0.625,10,-6.203,0,0.2,0.618,9.71e-05,0.287,0.555,166.018,37i9dQZF1DX10zKzsJ2jva,Viva Latino
4SSbtLDkepeOHAckM1FCBP,LOS APARATOS,2oQX8QiMXOyuqbcZEFsZfm,El Alfa,4l8c1V5208sGn5IkInMzUi,232843,2022-08-03,83,0.868,0.878,1,-3.294,1,0.038,0.0509,0.00052,0.0857,0.899,112.987,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5JhUm1v5AbI5Yu6jLKCPRO,No Se Va - En Vivo,6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,700G54RNkWryfdCZdfyw7A,194019,2022-04-28,29,0.594,0.527,0,-9.335,1,0.0335,0.121,0.0,0.234,0.692,172.712,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5enNYN3hDG4Dsey9WsF6TJ,NO HAY LEY,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,58bXMbR7x7k6ubKP7CyZpQ,157000,2022-09-02,76,0.713,0.617,9,-6.247,1,0.0372,0.077,0.0,0.354,0.416,122.036,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3kUq4sBcmxhnOtNysZ9yrp,Feliz Cumpleaños Ferxxo,2LRoIwlKmHjgvigdNGBHNo,Feid,5tWcOAhihL1zYpaIktpoxu,156400,2022-08-19,87,0.87,0.55,5,-5.537,1,0.0722,0.102,0.0,0.293,0.566,95.019,37i9dQZF1DX10zKzsJ2jva,Viva Latino
2oNSHvGBGZIrZouRAA1eaX,El Que Espera,7FNnA9vBm6EKceENgCGRMb,Anitta,1iouSXg5RihFIXRvZFJyTa,170396,2022-08-11,79,0.825,0.758,9,-1.73,0,0.238,0.0895,0.0,0.0661,0.828,176.059,37i9dQZF1DX10zKzsJ2jva,Viva Latino
2hLXUbsOU9cDb9RFva9FYr,MEMORIAS,0Q8NcsJwoCbZOHHW63su5S,Mora,0QLDQG7Jx78rEUDW03IhHC,228750,2022-04-01,85,0.771,0.707,2,-6.404,0,0.055,0.389,0.0,0.0745,0.317,127.963,37i9dQZF1DX10zKzsJ2jva,Viva Latino
2rurDawMfoKP4uHyb2kJBt,Te Felicito,0EmeFodog0BfCgMzAIvKQp,Shakira,6gQKAYf3TJM9sppw3AtbHH,172235,2022-04-21,91,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3qaHzxjNtFU7QiEuhGx70x,Sin Fin,5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,6bcsXfLlMTAWGWdWofzM2l,234666,2022-08-30,77,0.757,0.856,0,-4.494,1,0.0605,0.192,0.0,0.065,0.764,127.993,37i9dQZF1DX10zKzsJ2jva,Viva Latino
7gwT3HGL84vF7bgtwL1N88,Ojos Marrones,3SCOuAxngTC1yGjKMcIPEd,Lasso,5cgqNq1Esd6F0D1vQ9uD63,198520,2022-06-03,87,0.809,0.649,8,-4.433,0,0.0416,0.0407,0.0,0.145,0.72,120.014,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5GF0X7GdNmnouKcdhhRmtm,Party en el Barrio (feat. Duki),3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,2alxO71ik8lO8YIuNT2LKn,236143,2022-09-14,84,0.527,0.665,10,-7.108,1,0.164,0.0168,1.29e-06,0.324,0.546,135.026,37i9dQZF1DX10zKzsJ2jva,Viva Latino
6DoL1yYIwEW7VZMRaJhoJI,La Llevo Al Cielo (Ft. Ñengo Flow),0qTZZWLzuD59Un5r1speHm,Chris Jedi,0WEtvlRZhn9bZLHbjCLSv2,254920,2022-05-20,89,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3Ne5uYDFzHEFYAPbaBMIck,AUTOMÁTICO,1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,5i8WdrKnzvMbujuJhkcFQn,175317,2022-09-08,84,0.68,0.808,10,-3.854,0,0.224,0.0911,2.23e-06,0.205,0.868,176.131,37i9dQZF1DX10zKzsJ2jva,Viva Latino
1gYtMKmICjH8KQG3MheNJt,El Último Beso,7vXDAI8JwjW531ouMGbfcp,TINI,1humxYpKb5wRgIUqVdJmKg,197647,2022-09-15,81,0.647,0.662,10,-2.955,1,0.125,0.305,0.0,0.359,0.693,113.28,37i9dQZF1DX10zKzsJ2jva,Viva Latino
5Eax0qFko2dh7Rl2lYs3bx,Efecto,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,213061,2022-05-06,96,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,37i9dQZF1DX10zKzsJ2jva,Viva Latino
7dMTCS9BLzBqYTlAuHP8TM,XT4S1S,5xSx2FM8mQnrfgM1QsHniB,Danna Paola,2SGONYwprYHZruYFhQYiFC,219320,2022-08-12,84,0.797,0.677,9,-4.163,0,0.0857,0.101,0.0,0.441,0.919,130.034,37i9dQZF1DX10zKzsJ2jva,Viva Latino
7d7aPD2oxuzjhOZnu4Dj23,Mayor Que Usted,1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,39bS0KqiLzhJvitnTt7Y4W,233519,2022-06-17,82,0.625,0.839,6,-4.824,0,0.0927,0.00762,2.35e-05,0.464,0.771,184.08,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3SlKme42qm1vWrkl3BrZmm,Nos Comemos Vivos,1r4hJ1h58CWwUQe3MxPuau,Maluma,5aBWDVvyEWx7XFz7Isvgww,225365,2022-06-09,81,0.822,0.719,10,-3.633,0,0.0576,0.165,2.48e-05,0.174,0.659,82.01,37i9dQZF1DX10zKzsJ2jva,Viva Latino
3AbNNvo2OmyeDMvRBgf9vk,La Loto,7vXDAI8JwjW531ouMGbfcp,TINI,3kNJsC47065Ucjk6AuCb8y,190666,2022-07-06,83,0.855,0.83,1,-2.815,1,0.106,0.0783,1.31e-06,0.08,0.775,90.009,37i9dQZF1DX10zKzsJ2jva,Viva Latino
77l75UICfUZK5k0G7WRGqg,Traductor,5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,5b4J3ESXsrkLZ3hLcoVVpl,222857,2022-07-14,81,0.845,0.776,11,-3.098,0,0.0488,0.111,0.0321,0.0684,0.528,105.018,37i9dQZF1DX10zKzsJ2jva,Viva Latino
