playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX2LTcinqsO68,Old School Metal,100,spotify,Spotify,2326293
37i9dQZF1DZ06evO1sJmec,This Is Metallica,50,spotify,Spotify,1656140
37i9dQZF1DWWOaP4H0w5b0,Metal Essentials,100,spotify,Spotify,1565814
37i9dQZF1DXcfZ6moR6J0G,Nu Metal Era,70,spotify,Spotify,1454647
37i9dQZF1DWTcqUzwhNmKv,Kickass Metal,60,spotify,Spotify,1312037
37i9dQZF1DX1kydukZhLms,Metal Ballads,110,spotify,Spotify,1079851
37i9dQZF1DX9qNs32fujYe,Heavy Metal,200,spotify,Spotify,967682
37i9dQZF1DWXNFSTtym834,00s Metal Classics,100,spotify,Spotify,775873
37i9dQZF1DX08jcQJXDnEQ,90s Metal Classics,150,spotify,Spotify,675468
37i9dQZF1DX5J7FIl4q56G,All New Metal,100,spotify,Spotify,653224
37i9dQZF1DX5wgKYQVRARv,Progressive Metal,200,spotify,Spotify,471999
37i9dQZF1DX06VUQ1GoKge,Metal Charge,100,spotify,Spotify,412217
37i9dQZF1DWUnhhRs5u3TO,10s Metal Classics,150,spotify,Spotify,316729
37i9dQZF1DX6P51sFpSo2r,Metalcore Classics,50,spotify,Spotify,241964
37i9dQZF1E4EBdeEVqipSd,Metallica Radio,50,spotify,Spotify,213519
37i9dQZF1DX3gzwlIik99M,Metal del Nuestro,50,spotify,Spotify,206620
37i9dQZF1DWUJiNTfqDwyS,Metal Covers,75,spotify,Spotify,188724
0cVG2aGlZnT4Iy8dv3KPeW,MetallicA,42,31cjv52btsotsmyok6hhijq5y2ki,Pettson_jr,184118
37i9dQZF1DWTXGqmP0bfT3,Energy Booster: Metal,100,spotify,Spotify,172333
27gN69ebwiJRtXEboL12Ih,Heavy Metal Classics,393,celsum76,Misi,91462
1GXRoQWlxTNQiMNkOe7RqA,Hard Rock /Metal,292,roddmar,daviskyland43,79121
2xsIoqzZXdHDvnrot6Z8ql,🤘🏻 Rock/Metal 🤘🏻,340,joelebrahimi,Rock Louder,64343
4tszLL7NTfLCoIz39Zsiy1,Death Metal Classics,1158,itsazyr,Antti Laaninen @AntiLaner,55112
37i9dQZF1DX9J6gykuP8Cf,Metal Lords Official Playlist,18,spotify,Spotify,54312
0mAS2nwUZVBbDof6PH6g7d,Metallica: Best Of The Best,30,best-of-the-best,Best Of The Best,48964
37i9dQZF1DX8MxTboxJuGE,Império do Metal,70,spotify,Spotify,44329
4dm0B1iuBYdcFeJukrTEpg,METAL PESADO!!!! | Heavy Metal Classics,200,augustogarciabelini,augustogarciabelini,42230
79QHayucQm6M4wUlUbhQNQ,METALCORE,283,imsupertec,imsupertec,36632
37i9dQZF1DWSEar7YuhxIt,Raised on Metal,50,spotify,Spotify,34409
7eEj4ZU340ZGo5iDXkDhhJ,Metalcore Must-Haves,94,1281170391,Jesea Lee,32718
5SpXKOLINelm5Ivr5lUvj8,Workout Metal (Beast Mode),120,84lcn4sdp4iqgsxe1cra01di0,1MoreRep,32091
7dvXjM0vJHfsBDM3RJQEo3,🐏 Metal covers of non-metal songs,554,george_spv,Jorge García,31568
37i9dQZF1DXaqykGqi6KX8,Arab Metal,30,spotify,Spotify,28964
157s27nTk86SxFmsCiWKts,EBY METAL @RENEZZ,197,11165934520,René Ponte,28345
3FPr0bhhbgUO2bF7ditFYg,Metallica - Melhores,51,eduardo_cesar_pasquali,Suela,27277
2F21J93eORXMr3BiYjsQzI,Metalcore,138,handiofiblood,HandOfBlood,21999
1yMlpNGEpIVUIilZlrbdS0,Best Metal Songs of All Time - Top Heavy Metal Music Playlist,199,7bntwjdswpqhrnqr0gssydbd0,Redlist Playlists,20013
37i9dQZF1DX8oyW0kIcHwJ,Metallia Suomesta,65,spotify,Spotify,17077
55U4zhVdWZWetyMF9XUCBF,Power Metal Workout,344,q3aw3up5aseqghw4u6tsny4zb,tunesofmetal,16659
37i9dQZF1DX3LQMQPoXpjq,Metallibiisit joita voi laulaa mukana,70,spotify,Spotify,16531
4ANKXyLmH75qL8lmNNFjGt,Hair metal,158,luccgoes,Lucas Góes,16159
7i05G4IKeeLUONLMpQ0Cmb,Metalica exitos Metallica — One,12,barbershop16,barbershop16,14930
6Fxm4uk7DKZIfx6vwcBUUB,Metal Gear Rising Boss Battles,10,rabidmoogle,rabidmoogle,14902
37i9dQZF1DX5lnWe2pWowY,Metallia ja rokkia juoksulenkille,88,spotify,Spotify,13112
5yaqdcihcfLkaIxcR2STSi,Stoner Doom Metal,221,11145116280,Aras,13093
6SQegZmvdgL133EOQGxkrc,"Metallica, Queen, Guns & Roses, Pink Floyd, U2 and more - Rock n mix",61,ion.esparza,ion.esparza,12440
7L4BEudqTRUL3OOeJYlIJ7,Thrash Metal Classics,224,12124165724,12124165724,11590
