track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,711MCceyCBcFnzjGY4Q7Un,AC/DC,6mUdeDZCsExyJLMdAfDuwh,255493,1980-07-25,85,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,37i9dQZF1DX2LTcinqsO68,Old School Metal
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,07XSN3sPlIlB2L2XNcTwJw,KISS,4FA68GsblSfvKZZRfM1tI1,271240,1979-03-23,82,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,37i9dQZF1DX2LTcinqsO68,Old School Metal
7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,3REUXdj5OPKhuDTrTtCBU0,241599,1984-01-04,79,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,37i9dQZF1DX2LTcinqsO68,Old School Metal
6imjJij6aCM0IbbODUzJQn,Kickstart My Heart,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,23krn1eEy7o3u9laLI1PLD,284026,1989-09-01,79,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,37i9dQZF1DX2LTcinqsO68,Old School Metal
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,4qUMByJ3Pk94BFnCmGaUPS,293183,2020-09-18,79,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,37i9dQZF1DX2LTcinqsO68,Old School Metal
54bm2e3tk8cliUz3VSdCPZ,Master of Puppets (Remastered),2ye2Wgw4gimLv2eAKyk1NB,Metallica,7CGhx630DIjdJqaBDVKc5j,515386,1986-03-03,78,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,37i9dQZF1DX2LTcinqsO68,Old School Metal
7txxAtOMwLLnQTpKeBL6bp,Mother,34c4iQ5tkaZKu6Sv28BTde,Danzig,3elIDlrTtrgKfbxYVgp3uW,204866,1988-01-01,76,0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,37i9dQZF1DX2LTcinqsO68,Old School Metal
1hlveB9M6ijHZRbzZ2teyh,We're Not Gonna Take It,7b85ve82Sh36a3UAx74wut,Twisted Sister,0dzqapIToiOhULGvzDKpXm,219666,1984-05-10,75,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,37i9dQZF1DX2LTcinqsO68,Old School Metal
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,711MCceyCBcFnzjGY4Q7Un,AC/DC,10v912xgTZbjAtYfyKWJCS,208400,1979-07-27,85,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,37i9dQZF1DX2LTcinqsO68,Old School Metal
6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,1DFr97A9HnbV3SKTJFu62M,Motörhead,3rxF05Aux0QTrN533Kjc91,166360,1980-11-08,75,0.342,0.91,4,-7.748,1,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,37i9dQZF1DX2LTcinqsO68,Old School Metal
51TG9W3y9qyO8BY5RXKgnZ,Symphony Of Destruction,1Yox196W7bzVNZI7RBaPnf,Megadeth,1w9opfGdFtR3ulNHxnnO1e,246733,1992-07-14,74,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,37i9dQZF1DX2LTcinqsO68,Old School Metal
6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,07XSN3sPlIlB2L2XNcTwJw,KISS,1YCC4oZXg2zGn7pVSKVlGF,168840,1975-03-19,77,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,37i9dQZF1DX2LTcinqsO68,Old School Metal
05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,3REUXdj5OPKhuDTrTtCBU0,210226,1984-01-04,74,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,37i9dQZF1DX2LTcinqsO68,Old School Metal
57bgtoPSgt236HzfBOd8kj,Thunderstruck,711MCceyCBcFnzjGY4Q7Un,AC/DC,4vu7F6h90Br1ZtYYaqfITy,292880,1990-09-24,84,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,37i9dQZF1DX2LTcinqsO68,Old School Metal
58XWGx7KNNkKneHdprcprX,Rock You Like A Hurricane,27T030eWyCQRmDyuvr1kxY,Scorpions,71cfSO0iO1fjgQLEb3Wc6C,252493,1984-03-27,74,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697,37i9dQZF1DX2LTcinqsO68,Old School Metal
70Z9t1qhytWtG4cCmmi7mU,I Wanna Rock,7b85ve82Sh36a3UAx74wut,Twisted Sister,0dzqapIToiOhULGvzDKpXm,179760,1984-05-10,74,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,37i9dQZF1DX2LTcinqsO68,Old School Metal
5XcZRgJv3zMhTqCyESjQrF,Poison,3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,033cvSPAuSU5ArRfIgQSDU,270080,1989-07-25,74,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,37i9dQZF1DX2LTcinqsO68,Old School Metal
1Y373MqadDRtclJNdnUXVc,Paranoid - 2012 - Remaster,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,6r7LZXAVueS5DqdrvXJJK7,168405,1970-09-18,73,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,37i9dQZF1DX2LTcinqsO68,Old School Metal
549Go7a66CX6k523uK9kUv,"Girls, Girls, Girls",0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,2KT9tWALjIRjnaGYDYPg3k,270426,1987-05-15,73,0.599,0.931,7,-4.653,1,0.0735,0.0302,6.69e-05,0.392,0.536,140.123,37i9dQZF1DX2LTcinqsO68,Old School Metal
