playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,100,spotify,Spotify,6257895
37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온),50,spotify,Spotify,4275538
37i9dQZF1DX50QitC6Oqtn,Love Pop,100,spotify,Spotify,3481733
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,100,spotify,Spotify,3328204
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,90,spotify,Spotify,2677075
37i9dQZF1DX3WvGXE8FqYX,Women of Pop,75,spotify,Spotify,2381365
37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses,50,spotify,Spotify,2109873
37i9dQZF1DX0MLFaUdXnjA,Chill Pop,97,spotify,Spotify,1789007
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,75,spotify,Spotify,1695028
37i9dQZF1DX0A8zVl7p82B,Christmas Pop,166,spotify,Spotify,1631600
37i9dQZF1DX4YhSbTs17ha,Sólo Pop,91,spotify,Spotify,1565761
37i9dQZF1DWUaThf8nMdW6,Best of '00s Pop,50,spotify,Spotify,1359646
37i9dQZF1DX5gQonLbZD9s,Pumped Pop,75,spotify,Spotify,1270728
37i9dQZF1DX3YMp9n8fkNx,90s Pop Rock,100,spotify,Spotify,1182000
37i9dQZF1DXaPCIWxzZwR1,Pop Sauce,102,spotify,Spotify,1131802
37i9dQZF1DXasneILDRM7B,Pure Pop Punk,100,spotify,Spotify,1014015
37i9dQZF1DWVlLVXKTOAYa,Pop Right Now,100,spotify,Spotify,1002307
37i9dQZF1DXbcCmWfoUaw2,00s Pop Run,50,spotify,Spotify,902514
37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical,91,spotify,Spotify,808695
37i9dQZF1DX6Cy4Vr7Hu2y,EQUAL K-Pop,64,spotify,Spotify,802965
37i9dQZF1DX4FcAKI5Nhzq,K-Pop Rising,53,spotify,Spotify,708875
37i9dQZF1DX0vHZ8elq0UK,Energy Booster: Pop,150,spotify,Spotify,581059
37i9dQZF1DX6ec78YGWIGS,Pop Argentina,78,spotify,Spotify,407727
37i9dQZF1DX8mWv7JDZ0Ht,Pop Leve,85,spotify,Spotify,407622
37i9dQZF1DWSnRSDTCsoPk,Energy Booster: K-Pop,100,spotify,Spotify,371040
37i9dQZF1DX5cc7vmfioLh,Yabancı Pop,75,spotify,Spotify,359230
37i9dQZF1DWXti3N4Wp5xy,Pop Party,150,spotify,Spotify,347608
37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits,150,spotify,Spotify,329000
2NCYQ11U8paAOIoBb5iLCI,Pop Music 2022  ❤️ Piano Pop Songs to Chill and Relax,109,magicmusicsquad,Magic Records,320990
37i9dQZF1DX9VAqVAZ6EMr,Hinos Pop,50,spotify,Spotify,292218
37i9dQZF1DX2cNqJ4LgCMf,Popland 2010-2019,100,spotify,Spotify,280851
6mtYuOxzl58vSGnEDtZ9uB,Pop Hits 2000s - 2022,375,maka_97,maka_97,257151
37i9dQZF1DXdcGcdKNYAG0,Pop Schlager,55,spotify,Spotify,254423
37i9dQZF1DXcOFePJj4Rgb,Pop Favourites,100,spotify,Spotify,224234
37i9dQZF1DWZSeAwtQzvji,Sanfter Pop,60,spotify,Spotify,213040
37i9dQZF1DXdbRLJPSmnyq,J-Pop Hits,90,spotify,Spotify,208600
37i9dQZF1DX137AZKLkKC6,La + Popular,65,spotify,Spotify,188194
0EOwLwerQs7R57sAllSKlr,Pop Party,35,31llkladn7mobrvqqivfguyaiw3q,SpotifyMusicPL,168129
37i9dQZF1DWUF0tDIRaOPR,P-Pop On The Rise,50,spotify,Spotify,165083
37i9dQZF1DWUoY6Ih7vsxr,Millennium K-Pop,100,spotify,Spotify,159415
37i9dQZF1DWYBkvNBaUBeu,Pop Rising Philippines,70,spotify,Spotify,156956
37i9dQZF1DWYPTWocTjneQ,Puro Pop,105,spotify,Spotify,132408
4Xv7w5RBLUz71sSzIs4C6b,Acoustic Covers of Popular Songs,321,jasonluxmusic,Lux Music,125490
5TDtuKDbOhrfW7C58XnriZ,Pop Hits 2022,59,digster.fm,Digster,114966
37i9dQZF1DX9vEn8vBG5Y1,00s Pop Rock,100,spotify,Spotify,110422
7KFoK4LJ23EncELJwYmTDG,This Is City Pop,547,22hgmfs42726tamnhl5zklf6i,Joel Solano,107252
3vULfbikdfylmVbv31uYAC,Workout Pop Music 🧘‍♀️ Upbeat Pop Workout Songs / Gym Pop Workout Music,168,9z6ia73w6pt44c1zo5y8nhxqn,Musicgirl,103225
31ymdYCITDnZRtkKzP3Itp,Popular Music 🍭 2022 Hits & Best Music of the 2000s,100,midnightstudios,midnightstudios,102520
37i9dQZF1DX7ibzo2Gjliu,Luis Miguel - Pop,50,spotify,Spotify,101192
